População  residente -  total
Sigla;Código;Município;1996;2000;2007;2010;
PE;2600054;Abreu e Lima;80828;89039;92217;94429;
PE;2600104;Afogados da Ingazeira;31806;32922;34047;35088;
PE;2600203;Afrânio;13886;15014;16471;17586;
PE;2600302;Agrestina;18264;20036;21456;22679;
PE;2600401;Água Preta;25711;28531;29508;33095;
PE;2600500;Águas Belas;35965;36641;37992;40235;
PE;2600609;Alagoinha;11462;12535;14016;13759;
PE;2600708;Aliança;36972;37189;34740;37415;
PE;2600807;Altinho;21648;22131;21782;22353;
PE;2600906;Amaraji;20342;21309;20149;21939;
PE;2601003;Angelim;8433;9082;9836;10202;
PE;2601052;Araçoiaba;;15108;16520;18156;
PE;2601102;Araripina;63841;70898;75878;77302;
PE;2601201;Arcoverde;58722;61600;64863;68793;
PE;2601300;Barra de Guabiraba;10915;10939;12694;12776;
PE;2601409;Barreiros;38518;39139;41748;40732;
PE;2601508;Belém de Maria;14184;10626;9649;11353;
PE;2601607;Belém de São Francisco;21546;20208;20545;20253;
PE;2601706;Belo Jardim;67485;68698;70963;72432;
PE;2601805;Betânia;10780;11305;11548;12003;
PE;2601904;Bezerros;52432;57371;56629;58668;
PE;2602001;Bodocó;25790;31731;33381;35158;
PE;2602100;Bom Conselho;41101;42085;43397;45503;
PE;2602209;Bom Jardim;37369;37013;39023;37826;
PE;2602308;Bonito;34314;37750;39111;37566;
PE;2602407;Brejão;8170;8916;9341;8844;
PE;2602506;Brejinho;7142;7278;7158;7307;
PE;2602605;Brejo da Madre de Deus;34858;38109;40265;45180;
PE;2602704;Buenos Aires;12685;12007;12962;12537;
PE;2602803;Buíque;38480;44169;49937;52105;
PE;2602902;Cabo de Santo Agostinho;140764;152977;163139;185025;
PE;2603009;Cabrobó;25425;26741;28851;30873;
PE;2603108;Cachoeirinha;15554;17042;17421;18819;
PE;2603207;Caetés;20022;24137;25219;26577;
PE;2603306;Calçado;10547;11709;11337;11125;
PE;2603405;Calumbi;6988;7079;7577;5648;
PE;2603454;Camaragibe;111119;128702;136381;144466;
PE;2603504;Camocim de São Félix;14380;15115;15831;17104;
PE;2603603;Camutanga;7720;7844;7921;8156;
PE;2603702;Canhotinho;23446;24920;24218;24521;
PE;2603801;Capoeiras;19341;19556;19337;19593;
PE;2603900;Carnaíba;18113;17696;18345;18574;
PE;2603926;Carnaubeira da Penha;11073;10404;11689;11782;
PE;2604007;Carpina;55060;63811;65390;74858;
